0.7754 0.4438 0.6464 0.1210 0.8463 0.5044 0.6478 0.4525 0.1782 0.2920 0.4888 0.9074 0.3718 0.0178 0.7052 0.3270 0.0938 0.2316 0.8082 0.4762 0.7570 0.6521 0.0574 0.5346 0.3831 0.2332 0.3415 0.8635 0.1685 0.3421 0.7317 0.3616 0.3144 0.6408 0.2369 0.4132
0.1198 0.8185 0.7913 0.9175 0.0395 0.2029 0.7793 0.9900 0.7437 0.7363 0.4980 0.6308 0.2647 0.3531 0.5545 0.4543 0.8574 0.2608 0.7386 0.6208 0.2931 0.6371 0.5646 0.2848 0.1700 0.0733 0.4540 0.2427 0.0878 0.7954 0.9820 0.0424 0.9790 0.3153 0.8701 0.8469
0.1204 0.6723 0.6846 0.7459 0.2219 0.9360 0.4996 0.3098 0.0744 0.0017 0.7983 0.6341 0.0769 0.1849 0.2624 0.9981 0.0475 0.3784 0.6659 0.7120 0.6179 0.7108 0.1426 0.4847 0.3149 0.4780 0.2698 0.3548 0.3602 0.2731 0.0977 0.5792 0.5766 0.5504 0.2232 0.3393
0.4540 0.0526 0.9739 0.6971 0.5664 0.4289 0.6623 0.3830 0.9811 0.8357 0.1376 0.0310 0.3934 0.7115 0.1885 0.9837 0.6037 0.6180 0.4679 0.3262 0.6362 0.9774 0.6459 0.0042 0.1329 0.8700 0.0813 0.6514 0.6708 0.8512 0.0109 0.6269 0.7680 0.5657 0.1047 0.2898
0.5392 0.1772 0.3569 0.2725 0.2665 0.1948 0.5493 0.6248 0.0538 0.1845 0.7041 0.7756 0.5312 0.7988 0.0922 0.8600 0.3129 0.7660 0.5559 0.0267 0.1013 0.9991 0.6187 0.0283 0.1383 0.2227 0.8967 0.3905 0.1301 0.4103 0.0069 0.4506 0.1534 0.4913 0.4651 0.9923
0.5927 0.3122 0.5713 0.7748 0.8121 0.6809 0.8555 0.5578 0.6294 0.2803 0.1602 0.1844 0.7181 0.0109 0.6298 0.8882 0.2645 0.0459 0.5680 0.0407 0.9611 0.9151 0.0433 0.0966 0.9183 0.9458 0.6919 0.1722 0.1736 0.3530 0.6075 0.4610 0.3232 0.2140 0.6658 0.2579
0.9656 0.1189 0.9404 0.9801 0.5056 0.9505 0.6539 0.9850 0.8502 0.4800 0.4765 0.8345 0.8190 0.8145 0.0869 0.4771 0.0363 0.8939 0.5771 0.2686 0.7284 0.1116 0.5508 0.7108 0.8153 0.9605 0.4613 0.1310 0.4560 0.3029 0.6776 0.5952 0.0024 0.3406 0.1427 0.1919
0.8671 0.2253 0.3283 0.8753 0.4927 0.7397 0.2061 0.2107 0.3872 0.3653 0.0619 0.9550 0.7400 0.0929 0.6963 0.0454 0.1642 0.2313 0.0139 0.6096 0.8799 0.2230 0.9282 0.6137 0.4683 0.9830 0.3707 0.5640 0.7051 0.2259 0.9134 0.5208 0.6894 0.1833 0.4606 0.4571
0.9071 0.1218 0.7580 0.2161 0.5721 0.6491 0.0856 0.4955 0.7475 0.6400 0.2438 0.6912 0.5194 0.9022 0.8836 0.1802 0.3041 0.0579 0.9902 0.9452 0.8251 0.3214 0.7863 0.6556 0.4356 0.2411 0.8408 0.8922 0.7234 0.0795 0.7630 0.0987 0.4101 0.1655 0.4355 0.8861
0.7523 0.3670 0.3214 0.2380 0.5525 0.2936 0.3261 0.3700 0.5835 0.4800 0.6828 0.7029 0.7024 0.5701 0.0877 0.8440 0.2502 0.1602 0.1453 0.9124 0.0941 0.2008 0.8934 0.6496 0.3196 0.1220 0.1011 0.4037 0.8801 0.9586 0.8335 0.9121 0.9987 0.9057 0.9150 0.9781
