0.6886 0.4849 0.8529 0.7340 0.0021 0.6033 0.7222 0.0980 0.2970 0.1159 0.2869 0.1610 0.5484 0.3189 0.6381 0.1512 0.4243 0.7798 0.9244 0.9923 0.3528 0.8000 0.0261 0.2063 0.5405 0.3086 0.4107 0.8341 0.7161
0.2984 0.1071 0.2639 0.5377 0.0691 0.9964 0.7416 0.4049 0.6097 0.2446 0.6368 0.0557 0.0176 0.0046 0.9524 0.6685 0.3455 0.0988 0.1228 0.3430 0.4536 0.6335 0.3388 0.6027 0.5761 0.4996 0.7501 0.3466 0.8993
0.4800 0.6575 0.5840 0.0636 0.5169 0.8552 0.6360 0.6623 0.7894 0.2777 0.5738 0.0819 0.2161 0.4222 0.2506 0.6792 0.5416 0.2471 0.6043 0.7424 0.0071 0.3898 0.6285 0.9563 0.9777 0.8966 0.2947 0.9979 0.8184
0.6048 0.3068 0.4819 0.7392 0.6160 0.6449 0.2286 0.1160 0.1472 0.5983 0.5318 0.3645 0.1945 0.2161 0.0488 0.7588 0.6696 0.5060 0.2291 0.1305 0.5131 0.0265 0.7119 0.7954 0.0409 0.2980 0.2858 0.0674 0.0579
0.3234 0.2709 0.6585 0.5686 0.8983 0.0804 0.4006 0.6585 0.0432 0.1263 0.0772 0.2848 0.0531 0.5074 0.4936 0.0593 0.5157 0.4212 0.3926 0.2805 0.2448 0.4818 0.9307 0.2731 0.6862 0.0046 0.1912 0.4562 0.2766
0.9440 0.3454 0.7764 0.1214 0.6777 0.5728 0.2852 0.8885 0.8000 0.7465 0.8163 0.8642 0.0276 0.9040 0.1479 0.5826 0.2256 0.5626 0.5903 0.2317 0.5828 0.0987 0.6283 0.6972 0.2920 0.5750 0.2334 0.0626 0.8119
0.7589 0.2013 0.1491 0.9446 0.2969 0.2903 0.7033 0.6937 0.0993 0.2821 0.4281 0.1003 0.2445 0.4935 0.7222 0.8330 0.7474 0.6156 0.8381 0.5993 0.7491 0.6512 0.6664 0.4388 0.4126 0.8699 0.2550 0.0544 0.6523
0.0933 0.4575 0.8625 0.0702 0.5619 0.4952 0.3581 0.7014 0.9283 0.8135 0.8857 0.7191 0.8897 0.1739 0.8030 0.6041 0.9364 0.0058 0.2313 0.9805 0.4353 0.9041 0.2618 0.8437 0.8136 0.0640 0.9582 0.3868 0.5085
0.1361 0.1101 0.6116 0.7031 0.0977 0.1579 0.2714 0.2421 0.6742 0.3444 0.7224 0.1833 0.8843 0.9347 0.1652 0.3522 0.7398 0.3227 0.9682 0.6203 0.6662 0.5782 0.4938 0.9632 0.7955 0.3858 0.0552 0.0664 0.9976
0.8398 0.5185 0.5428 0.9007 0.6150 0.7949 0.9978 0.5875 0.0530 0.8160 0.2558 0.7085 0.1706 0.9498 0.2573 0.6306 0.9365 0.4639 0.6514 0.2072 0.8910 0.5601 0.4670 0.0614 0.3719 0.1199 0.3413 0.6122 0.7133
0.4424 0.2130 0.9396 0.1740 0.3346 0.9356 0.7444 0.0592 0.6314 0.3229 0.2254 0.9880 0.7315 0.4155 0.3673 0.3442 0.5684 0.9243 0.4479 0.0247 0.2080 0.6550 0.3812 0.0358 0.4916 0.5113 0.1685 0.0084 0.3102
0.8118 0.0522 0.5501 0.0357 0.9900 0.9436 0.9286 0.5210 0.4520 0.2192 0.2410 0.5723 0.1540 0.0865 0.1363 0.8216 0.4921 0.9995 0.8613 0.6671 0.5587 0.2760 0.4742 0.0535 0.3020 0.8221 0.6040 0.3109 0.1512
0.3798 0.0986 0.3948 0.1921 0.2881 0.2349 0.5835 0.3640 0.7424 0.9144 0.0590 0.7169 0.9463 0.5860 0.2067 0.4987 0.1199 0.7527 0.7934 0.9121 0.5571 0.0888 0.8507 0.7726 0.4602 0.0131 0.2855 0.5931 0.5890
0.2553 0.2385 0.5395 0.1738 0.0232 0.3521 0.2904 0.4774 0.4085 0.0044 0.4947 0.8499 0.4532 0.3343 0.4916 0.9925 0.8662 0.2375 0.2231 0.2944 0.4036 0.4205 0.7784 0.2717 0.6619 0.9715 0.3360 0.2384 0.9589
0.9687 0.7003 0.0574 0.7654 0.1568 0.9340 0.1184 0.3249 0.7685 0.0376 0.3890 0.4944 0.3105 0.5655 0.5252 0.3540 0.6525 0.0227 0.6983 0.6481 0.3915 0.1033 0.9303 0.4595 0.6504 0.0088 0.5286 0.7756 0.0797
0.8023 0.0140 0.2420 0.4851 0.1750 0.5966 0.8491 0.5041 0.7277 0.9192 0.4409 0.5099 0.3362 0.4906 0.9766 0.0327 0.7297 0.3100 0.0637 0.9641 0.0167 0.8676 0.6709 0.4284 0.6367 0.5903 0.9101 0.2015 0.1145
0.5667 0.6623 0.3198 0.7393 0.7215 0.2177 0.5685 0.2071 0.0475 0.0978 0.8194 0.3197 0.8440 0.5227 0.4540 0.1374 0.3550 0.4311 0.4882 0.3875 0.2908 0.4102 0.3472 0.6010 0.2371 0.6792 0.4782 0.9753 0.2539
0.8327 0.1638 0.1174 0.5159 0.6946 0.4613 0.1584 0.2334 0.1741 0.2087 0.8468 0.3899 0.2075 0.2677 0.0634 0.4028 0.2105 0.9556 0.6138 0.2491 0.8078 0.8083 0.8424 0.3116 0.9156 0.9538 0.6268 0.2823 0.2892
0.4300 0.2231 0.7607 0.0521 0.5272 0.7293 0.1685 0.4827 0.9178 0.2577 0.1736 0.8780 0.1729 0.9036 0.4671 0.6703 0.2206 0.3119 0.1924 0.4716 0.7056 0.4681 0.4241 0.0365 0.0836 0.8801 0.8038 0.9191 0.3099
0.0650 0.8804 0.4477 0.3721 0.7759 0.7180 0.4204 0.1399 0.7266 0.6616 0.7718 0.2870 0.8524 0.2567 0.2723 0.2690 0.1434 0.6698 0.4334 0.5745 0.1066 0.5910 0.5470 0.1585 0.5068 0.4821 0.2234 0.7750 0.2980
